,0,1,2,3
241,1900-01-01 13:27:32,47.69,green,1
242,1900-01-01 13:27:32,47.69,green,1
243,1900-01-01 13:27:52,47.70,red,1
244,1900-01-01 13:27:56,47.69,green,1
245,1900-01-01 13:28:00,47.69,green,1
246,1900-01-01 13:29:00,47.69,green,1
247,1900-01-01 13:29:09,47.70,red,1
248,1900-01-01 13:29:18,47.70,red,1
249,1900-01-01 13:29:27,47.70,red,1
250,1900-01-01 13:29:32,47.70,red,2
251,1900-01-01 13:29:32,47.70,red,1
252,1900-01-01 13:29:41,47.70,red,5
253,1900-01-01 13:29:58,47.70,red,12
254,1900-01-01 13:29:59,47.69,green,6
255,1900-01-01 13:30:00,47.69,green,1
256,1900-01-01 13:30:06,47.70,red,2
257,1900-01-01 13:30:10,47.70,red,6
258,1900-01-01 13:30:16,47.70,red,1
259,1900-01-01 13:30:19,47.69,green,1
260,1900-01-01 13:30:19,47.69,green,4
261,1900-01-01 13:31:00,47.70,red,29
262,1900-01-01 13:31:14,47.70,red,5
263,1900-01-01 13:31:15,47.70,red,4
264,1900-01-01 13:31:35,47.71,red,2
265,1900-01-01 13:31:49,47.70,green,1
266,1900-01-01 13:32:00,47.70,green,1
267,1900-01-01 13:32:11,47.70,green,10
268,1900-01-01 13:32:12,47.70,green,6
269,1900-01-01 13:32:47,47.71,red,1
270,1900-01-01 13:33:00,47.71,red,1
271,1900-01-01 13:33:11,47.71,red,1
272,1900-01-01 13:33:39,47.71,red,1
273,1900-01-01 13:33:40,47.71,red,1
274,1900-01-01 13:33:40,47.71,red,1
275,1900-01-01 13:33:40,47.71,red,1
276,1900-01-01 13:33:40,47.71,red,1
277,1900-01-01 13:33:50,47.71,red,5
278,1900-01-01 13:33:59,47.70,green,1
279,1900-01-01 13:33:59,47.70,green,2
280,1900-01-01 13:34:00,47.70,green,4
281,1900-01-01 13:34:04,47.70,green,6
282,1900-01-01 13:34:10,47.71,red,1
283,1900-01-01 13:34:23,47.70,green,2
284,1900-01-01 13:34:23,47.70,green,5
285,1900-01-01 13:34:24,47.69,green,34
286,1900-01-01 13:34:28,47.70,red,1
287,1900-01-01 13:34:32,47.70,red,1
288,1900-01-01 13:34:36,47.69,green,46
289,1900-01-01 13:34:36,47.68,green,4
290,1900-01-01 13:34:37,47.69,green,35
291,1900-01-01 13:34:44,47.68,green,25
292,1900-01-01 13:34:45,47.69,red,16
293,1900-01-01 13:34:49,47.69,red,9
294,1900-01-01 13:35:00,47.69,green,1
295,1900-01-01 13:35:25,47.69,green,2
296,1900-01-01 13:35:25,47.69,green,2
297,1900-01-01 13:35:27,47.69,green,6
298,1900-01-01 13:35:40,47.69,green,2
299,1900-01-01 13:35:44,47.69,green,1
300,1900-01-01 13:35:49,47.70,red,1
301,1900-01-01 13:36:00,47.70,red,1
302,1900-01-01 13:36:06,47.69,green,1
303,1900-01-01 13:36:10,47.70,red,1
304,1900-01-01 13:36:54,47.70,red,1
305,1900-01-01 13:37:00,47.70,red,1
306,1900-01-01 13:37:27,47.69,green,1
307,1900-01-01 13:37:39,47.69,green,6
308,1900-01-01 13:37:39,47.69,green,5
309,1900-01-01 13:37:39,47.69,green,1
310,1900-01-01 13:37:39,47.69,green,3
311,1900-01-01 13:37:41,47.68,green,18
312,1900-01-01 13:37:51,47.69,red,1
313,1900-01-01 13:38:00,47.69,red,8
314,1900-01-01 13:38:02,47.68,green,2
315,1900-01-01 13:38:03,47.68,green,5
316,1900-01-01 13:38:07,47.68,green,3
317,1900-01-01 13:38:07,47.69,red,1
318,1900-01-01 13:38:14,47.68,green,30
319,1900-01-01 13:38:15,47.69,red,18
320,1900-01-01 13:38:18,47.68,green,15
321,1900-01-01 13:38:20,47.69,red,15
322,1900-01-01 13:38:22,47.69,red,1
323,1900-01-01 13:38:27,47.68,green,1
324,1900-01-01 13:38:34,47.69,red,5
325,1900-01-01 13:38:42,47.69,red,5
326,1900-01-01 13:38:52,47.69,red,5
327,1900-01-01 13:39:00,47.69,red,2
328,1900-01-01 13:39:13,47.68,green,2
329,1900-01-01 13:39:16,47.68,green,1
330,1900-01-01 13:39:17,47.69,red,1
331,1900-01-01 13:39:20,47.69,red,1
332,1900-01-01 13:39:22,47.69,red,27
333,1900-01-01 13:39:22,47.69,green,1
334,1900-01-01 13:39:29,47.69,green,27
335,1900-01-01 13:39:30,47.68,green,5
336,1900-01-01 13:39:34,47.69,red,1
337,1900-01-01 13:39:42,47.69,red,5
338,1900-01-01 13:39:50,47.69,red,1
339,1900-01-01 13:39:51,47.69,red,1
340,1900-01-01 13:39:52,47.69,red,5
341,1900-01-01 13:39:53,47.69,red,28
342,1900-01-01 13:39:54,47.69,red,5
343,1900-01-01 13:40:00,47.69,green,56
344,1900-01-01 13:40:03,47.69,green,3
345,1900-01-01 13:40:11,47.69,red,5
346,1900-01-01 13:40:13,47.68,green,20
347,1900-01-01 13:40:16,47.68,green,10
348,1900-01-01 13:40:16,47.68,green,8
349,1900-01-01 13:40:17,47.69,red,11
350,1900-01-01 13:40:18,47.69,red,1
351,1900-01-01 13:40:20,47.69,red,1
352,1900-01-01 13:40:31,47.68,green,1
353,1900-01-01 13:40:36,47.69,red,5
354,1900-01-01 13:40:44,47.69,red,5
355,1900-01-01 13:41:00,47.69,red,1
356,1900-01-01 13:41:18,47.69,red,1
357,1900-01-01 13:41:27,47.68,green,1
358,1900-01-01 13:41:31,47.68,green,2
359,1900-01-01 13:41:47,47.69,red,1
360,1900-01-01 13:42:00,47.69,red,1
361,1900-01-01 13:43:00,47.68,green,1
362,1900-01-01 13:43:06,47.68,green,1
363,1900-01-01 13:43:09,47.69,red,1
364,1900-01-01 13:43:32,47.69,red,1
365,1900-01-01 13:43:51,47.69,red,1
366,1900-01-01 13:43:59,47.69,red,1
367,1900-01-01 13:44:00,47.69,red,1
368,1900-01-01 13:44:10,47.69,red,1
369,1900-01-01 13:44:11,47.69,red,1
370,1900-01-01 13:44:11,47.69,red,1
371,1900-01-01 13:44:39,47.68,green,1
372,1900-01-01 13:44:48,47.68,green,1
373,1900-01-01 13:44:49,47.68,green,1
374,1900-01-01 13:44:49,47.68,green,1
375,1900-01-01 13:45:00,47.68,green,4
376,1900-01-01 13:45:19,47.69,red,5
