,1m,3m,15m,time
269,,,,1900-01-01 13:01:29
270,,,,1900-01-01 13:01:30
271,,,,1900-01-01 13:01:31
272,,,,1900-01-01 13:01:32
273,,,,1900-01-01 13:01:33
274,,,,1900-01-01 13:01:34
275,,,,1900-01-01 13:01:35
276,,,,1900-01-01 13:01:36
277,,,,1900-01-01 13:01:37
278,,,,1900-01-01 13:01:38
279,,,,1900-01-01 13:01:39
280,,,,1900-01-01 13:01:40
281,,,,1900-01-01 13:01:41
282,,,,1900-01-01 13:01:42
283,,,,1900-01-01 13:01:43
284,,,,1900-01-01 13:01:44
285,,,,1900-01-01 13:01:45
286,,,,1900-01-01 13:01:46
287,,,,1900-01-01 13:01:47
288,,,,1900-01-01 13:01:48
289,,,,1900-01-01 13:01:49
290,,,,1900-01-01 13:01:50
291,,,,1900-01-01 13:01:51
292,,,,1900-01-01 13:01:52
293,,,,1900-01-01 13:01:53
294,,,,1900-01-01 13:01:54
295,,,,1900-01-01 13:01:55
296,,,,1900-01-01 13:01:56
297,,,,1900-01-01 13:01:57
298,,,,1900-01-01 13:01:58
299,,,,1900-01-01 13:01:59
300,,,,1900-01-01 13:02:00
301,,,,1900-01-01 13:02:01
302,,,,1900-01-01 13:02:02
303,,,,1900-01-01 13:02:03
304,,,,1900-01-01 13:02:04
305,,,,1900-01-01 13:02:05
306,,,,1900-01-01 13:02:06
307,,,,1900-01-01 13:02:07
308,,,,1900-01-01 13:02:08
309,,,,1900-01-01 13:02:09
310,,,,1900-01-01 13:02:10
311,,,,1900-01-01 13:02:11
312,,,,1900-01-01 13:02:12
313,,,,1900-01-01 13:02:13
314,,,,1900-01-01 13:02:14
315,,,,1900-01-01 13:02:15
316,,,,1900-01-01 13:02:16
317,,,,1900-01-01 13:02:17
318,,,,1900-01-01 13:02:18
319,,,,1900-01-01 13:02:19
320,,,,1900-01-01 13:02:20
321,,,,1900-01-01 13:02:21
322,,,,1900-01-01 13:02:22
323,,,,1900-01-01 13:02:23
324,,,,1900-01-01 13:02:24
325,,,,1900-01-01 13:02:25
326,,,,1900-01-01 13:02:26
327,,,,1900-01-01 13:02:27
328,,,,1900-01-01 13:02:28
329,,,,1900-01-01 13:02:29
330,,,,1900-01-01 13:02:30
331,,,,1900-01-01 13:02:31
332,,,,1900-01-01 13:02:32
333,,,,1900-01-01 13:02:33
334,,,,1900-01-01 13:02:34
335,,,,1900-01-01 13:02:35
336,,,,1900-01-01 13:02:36
337,,,,1900-01-01 13:02:37
338,,,,1900-01-01 13:02:38
339,,,,1900-01-01 13:02:39
340,,,,1900-01-01 13:02:40
341,,,,1900-01-01 13:02:41
342,,,,1900-01-01 13:02:42
343,,,,1900-01-01 13:02:43
344,,,,1900-01-01 13:02:44
345,,,,1900-01-01 13:02:45
346,,,,1900-01-01 13:02:46
347,,,,1900-01-01 13:02:47
348,,,,1900-01-01 13:02:48
349,,,,1900-01-01 13:02:49
350,,,,1900-01-01 13:02:50
351,,,,1900-01-01 13:02:51
352,,,,1900-01-01 13:02:52
353,,,,1900-01-01 13:02:53
354,,,,1900-01-01 13:02:54
355,,,,1900-01-01 13:02:55
356,,,,1900-01-01 13:02:56
357,,,,1900-01-01 13:02:57
358,,,,1900-01-01 13:02:58
359,,,,1900-01-01 13:02:59
360,,,,1900-01-01 13:03:00
361,,,,1900-01-01 13:03:01
362,,,,1900-01-01 13:03:02
363,,,,1900-01-01 13:03:03
364,,,,1900-01-01 13:03:04
365,,,,1900-01-01 13:03:05
366,,,,1900-01-01 13:03:06
367,,,,1900-01-01 13:03:07
368,,,,1900-01-01 13:03:08
369,,,,1900-01-01 13:03:09
370,,,,1900-01-01 13:03:10
371,,,,1900-01-01 13:03:11
372,,,,1900-01-01 13:03:12
373,,,,1900-01-01 13:03:13
374,,,,1900-01-01 13:03:14
375,,,,1900-01-01 13:03:15
376,,,,1900-01-01 13:03:16
377,,,,1900-01-01 13:03:17
378,,,,1900-01-01 13:03:18
379,,,,1900-01-01 13:03:19
380,,,,1900-01-01 13:03:20
381,,,,1900-01-01 13:03:21
382,,,,1900-01-01 13:03:22
383,,,,1900-01-01 13:03:23
384,,,,1900-01-01 13:03:24
385,,,,1900-01-01 13:03:25
386,,,,1900-01-01 13:03:26
387,,,,1900-01-01 13:03:27
388,,,,1900-01-01 13:03:28
389,,,,1900-01-01 13:03:29
390,,,,1900-01-01 13:03:30
391,,,,1900-01-01 13:03:31
392,,,,1900-01-01 13:03:32
393,,,,1900-01-01 13:03:33
394,,,,1900-01-01 13:03:34
395,,,,1900-01-01 13:03:35
396,,,,1900-01-01 13:03:36
397,,,,1900-01-01 13:03:37
398,,,,1900-01-01 13:03:38
399,,,,1900-01-01 13:03:39
400,,,,1900-01-01 13:03:40
401,,,,1900-01-01 13:03:41
402,,,,1900-01-01 13:03:42
403,,,,1900-01-01 13:03:43
404,,,,1900-01-01 13:03:44
405,,,,1900-01-01 13:03:45
406,,,,1900-01-01 13:03:46
407,,,,1900-01-01 13:03:47
408,,,,1900-01-01 13:03:48
409,,,,1900-01-01 13:03:49
410,,,,1900-01-01 13:03:50
411,,,,1900-01-01 13:03:51
412,,,,1900-01-01 13:03:52
413,,,,1900-01-01 13:03:53
414,,,,1900-01-01 13:03:54
415,,,,1900-01-01 13:03:55
416,,,,1900-01-01 13:03:56
417,,,,1900-01-01 13:03:57
418,,,,1900-01-01 13:03:58
419,,,,1900-01-01 13:03:59
420,,,,1900-01-01 13:04:00
421,,,,1900-01-01 13:04:01
422,,,,1900-01-01 13:04:02
423,,,,1900-01-01 13:04:03
424,,,,1900-01-01 13:04:04
425,,,,1900-01-01 13:04:05
426,,,,1900-01-01 13:04:06
427,,,,1900-01-01 13:04:07
428,,,,1900-01-01 13:04:08
429,,,,1900-01-01 13:04:09
430,,,,1900-01-01 13:04:10
431,,,,1900-01-01 13:04:11
432,,,,1900-01-01 13:04:12
433,,,,1900-01-01 13:04:13
434,,,,1900-01-01 13:04:14
435,,,,1900-01-01 13:04:15
436,,,,1900-01-01 13:04:16
437,,,,1900-01-01 13:04:17
438,,,,1900-01-01 13:04:18
439,,,,1900-01-01 13:04:19
440,,,,1900-01-01 13:04:20
441,,,,1900-01-01 13:04:21
442,,,,1900-01-01 13:04:22
443,,,,1900-01-01 13:04:23
444,,,,1900-01-01 13:04:24
445,,,,1900-01-01 13:04:25
446,,,,1900-01-01 13:04:26
447,,,,1900-01-01 13:04:27
448,,,,1900-01-01 13:04:28
449,,,,1900-01-01 13:04:29
450,,,,1900-01-01 13:04:30
451,,,,1900-01-01 13:04:31
452,,,,1900-01-01 13:04:32
453,,,,1900-01-01 13:04:33
454,,,,1900-01-01 13:04:34
455,,,,1900-01-01 13:04:35
456,,,,1900-01-01 13:04:36
457,,,,1900-01-01 13:04:37
458,,,,1900-01-01 13:04:38
459,,,,1900-01-01 13:04:39
460,,,,1900-01-01 13:04:40
461,,,,1900-01-01 13:04:41
462,,,,1900-01-01 13:04:42
463,,,,1900-01-01 13:04:43
464,,,,1900-01-01 13:04:44
465,,,,1900-01-01 13:04:45
466,,,,1900-01-01 13:04:46
467,,,,1900-01-01 13:04:47
468,,,,1900-01-01 13:04:48
469,,,,1900-01-01 13:04:49
470,,,,1900-01-01 13:04:50
471,,,,1900-01-01 13:04:51
472,,,,1900-01-01 13:04:52
473,,,,1900-01-01 13:04:53
474,,,,1900-01-01 13:04:54
475,,,,1900-01-01 13:04:55
476,,,,1900-01-01 13:04:56
477,,,,1900-01-01 13:04:57
478,,,,1900-01-01 13:04:58
479,,,,1900-01-01 13:04:59
480,,,,1900-01-01 13:05:00
481,,,,1900-01-01 13:05:01
482,,,,1900-01-01 13:05:02
483,,,,1900-01-01 13:05:03
484,,,,1900-01-01 13:05:04
485,,,,1900-01-01 13:05:05
486,,,,1900-01-01 13:05:06
487,,,,1900-01-01 13:05:07
488,,,,1900-01-01 13:05:08
489,,,,1900-01-01 13:05:09
490,,,,1900-01-01 13:05:10
491,,,,1900-01-01 13:05:11
492,,,,1900-01-01 13:05:12
493,,,,1900-01-01 13:05:13
494,,,,1900-01-01 13:05:14
495,,,,1900-01-01 13:05:15
496,,,,1900-01-01 13:05:16
497,,,,1900-01-01 13:05:17
